date,ticker,name,prev_close,close,ret_pct,high_pct,low_pct,gap_days,flag,in_panel
2020-11-09,600584.SS,JCET 長電科技,41.15,45.27,10.01,10.01,2.55,3,up_limit,True
2020-11-24,002156.SZ,Tongfu 通富微電,24.65,26.1,5.88,10.02,0.73,1,up_touch,True
2021-01-18,002156.SZ,Tongfu 通富微電,26.88,29.57,10.01,10.01,0.93,3,up_limit,True
2021-02-03,002156.SZ,Tongfu 通富微電,28.9,26.33,-8.89,0.07,-9.86,1,down_touch,True
2021-03-09,002156.SZ,Tongfu 通富微電,24.21,22.0,-9.13,0.25,-9.71,1,near_down,True
2021-06-07,002156.SZ,Tongfu 通富微電,19.97,21.97,10.02,10.02,4.21,3,up_limit,True
2021-06-25,002185.SZ,Huatian 華天科技,13.86,15.25,10.03,10.03,0.58,1,up_limit,True
2021-07-28,002156.SZ,Tongfu 通富微電,22.84,21.22,-7.09,-1.31,-9.98,1,down_touch,True
2021-07-29,002156.SZ,Tongfu 通富微電,21.22,23.05,8.62,9.99,1.08,1,up_touch,True
2021-11-05,002185.SZ,Huatian 華天科技,13.17,13.91,5.62,9.95,4.02,1,up_touch,True
2022-04-25,002185.SZ,Huatian 華天科技,9.3,8.45,-9.14,-1.51,-9.14,3,near_down,True
2022-05-05,600584.SS,JCET 長電科技,21.62,23.62,9.25,9.99,4.63,6,up_touch,False
2022-07-18,002156.SZ,Tongfu 通富微電,14.41,15.51,7.63,9.99,-0.9,3,up_touch,False
2022-07-28,002156.SZ,Tongfu 通富微電,15.07,16.58,10.02,10.02,0.2,1,up_limit,True
2022-08-05,002156.SZ,Tongfu 通富微電,17.05,18.76,10.03,10.03,3.11,1,up_limit,True
2022-08-05,600584.SS,JCET 長電科技,26.3,28.56,8.59,9.96,0.27,1,up_touch,True
2022-08-05,002185.SZ,Huatian 華天科技,9.32,10.25,9.98,9.98,0.0,1,up_limit,True
2022-08-08,002156.SZ,Tongfu 通富微電,18.76,20.64,10.02,10.02,5.54,3,up_limit,True
2022-08-09,002156.SZ,Tongfu 通富微電,20.64,22.7,9.98,9.98,-2.37,1,up_limit,True
2022-10-20,002156.SZ,Tongfu 通富微電,14.82,16.3,9.99,9.99,-1.15,1,up_limit,True
2022-10-26,002156.SZ,Tongfu 通富微電,15.95,17.19,7.77,10.03,-1.0,1,up_touch,True
2022-10-27,002156.SZ,Tongfu 通富微電,17.19,18.56,7.97,10.01,0.52,1,up_touch,True
2022-12-15,002156.SZ,Tongfu 通富微電,17.26,18.77,8.75,10.02,-2.09,1,up_touch,True
2023-02-14,002156.SZ,Tongfu 通富微電,21.16,22.11,4.49,10.02,2.36,1,up_touch,True
2023-02-20,002156.SZ,Tongfu 通富微電,20.63,22.69,9.99,9.99,-0.78,3,up_limit,True
2023-03-03,002156.SZ,Tongfu 通富微電,22.03,24.23,9.99,9.99,5.27,1,up_limit,True
2023-04-26,600584.SS,JCET 長電科技,31.49,28.34,-10.0,-6.07,-10.0,1,down_limit,True
2023-05-29,002156.SZ,Tongfu 通富微電,22.01,24.21,10.0,10.0,6.77,3,up_limit,False
2023-06-14,002156.SZ,Tongfu 通富微電,27.35,25.3,-7.5,-4.97,-9.95,1,down_touch,True
2023-07-18,002156.SZ,Tongfu 通富微電,22.39,23.65,5.63,10.0,3.8,1,up_touch,True
2024-01-26,002156.SZ,Tongfu 通富微電,21.58,19.45,-9.87,-2.18,-10.01,1,down_limit,True
2024-02-06,002185.SZ,Huatian 華天科技,5.85,6.44,10.09,10.09,-2.56,1,up_limit,False
2024-02-07,002185.SZ,Huatian 華天科技,6.44,7.08,9.94,9.94,-0.31,1,up_limit,False
2024-02-08,002185.SZ,Huatian 華天科技,7.08,7.79,10.03,10.03,0.42,1,up_limit,False
2024-02-08,002156.SZ,Tongfu 通富微電,20.44,21.56,5.48,9.98,0.83,1,up_touch,False
2024-02-19,002185.SZ,Huatian 華天科技,7.79,8.57,10.01,10.01,10.01,11,up_limit,True
2024-03-04,002156.SZ,Tongfu 通富微電,22.89,25.18,10.0,10.0,2.53,3,up_limit,True
2024-03-05,600584.SS,JCET 長電科技,27.89,30.68,10.0,10.0,7.82,1,up_limit,True
2024-03-08,002156.SZ,Tongfu 通富微電,23.7,26.07,10.0,10.0,0.13,1,up_limit,True
