leader,leader_name,follower,follower_name,n1,t1,p1,n2,t2,p2,classification
005930.KS,三星,4062.T,Ibiden,71,0.8677259835466034,0.38850940087783425,99,0.7450377048395256,0.4580319828674131,兩段均不顯著
4062.T,Ibiden,005930.KS,三星,79,-0.7587954508066265,0.45026181930330456,87,3.363897422621989,0.0011494861635597386,僅後半段
005930.KS,三星,3711.TW,日月光,71,0.24973498947530412,0.8035237180307507,99,3.1164690118234026,0.0024017733201672936,僅後半段
2330.TW,台積電,2449.TW,京元電子,79,3.2189121403488903,0.0018759303727644242,81,1.4623658512977087,0.14755846670967754,僅前半段
2330.TW,台積電,3037.TW,欣興,79,1.8311103313653734,0.07090273470822239,81,2.6441192828443,0.009853936485451473,僅後半段
2330.TW,台積電,3189.TW,景碩,79,1.5859629389441485,0.11679376084971378,81,2.3885069676996076,0.019272773020499304,僅後半段
2330.TW,台積電,3264.TWO,欣銓,79,5.412166406188125,6.646747345427108e-07,81,3.2494540952124362,0.0016920512356067977,全期間穩定
2330.TW,台積電,3711.TW,日月光,79,3.8134823104292925,0.00027244144538681917,81,2.1468791058082384,0.03483148553582191,全期間穩定
2330.TW,台積電,6239.TW,力成,79,4.075981355562666,0.00010943425851096305,81,-0.40137642186879785,0.6892131576782321,僅前半段
2330.TW,台積電,8046.TW,南電,79,3.6226018100114388,0.0005171394809906879,81,2.1231314262825807,0.036833953687022844,全期間穩定
2449.TW,京元電子,3264.TWO,欣銓,75,2.9531383392431945,0.0042139399275131105,80,2.762730253717101,0.007127726129197111,全期間穩定
3037.TW,欣興,3189.TW,景碩,75,-0.3463912339780756,0.7300317143517804,101,3.8681810956575533,0.00019536681199434845,僅後半段
3037.TW,欣興,8046.TW,南電,75,1.0845718992701068,0.28163219693958413,101,2.920234542029635,0.004322642994385317,僅後半段
3711.TW,日月光,3264.TWO,欣銓,83,-0.3966952838679231,0.6926227072826101,98,4.375927703535799,3.048900148899561e-05,僅後半段
3711.TW,日月光,6239.TW,力成,83,-1.8967528674488028,0.06138152110946799,98,1.3854814910505453,0.16908287217108905,兩段均不顯著
3711.TW,日月光,8046.TW,南電,83,0.2328403000512537,0.8164656232400992,98,2.575112912161471,0.011531111126227822,僅後半段
4062.T,Ibiden,3037.TW,欣興,79,1.4892508511157292,0.14045374423979304,87,3.635554462039379,0.0004716505853939594,僅後半段
4062.T,Ibiden,3189.TW,景碩,79,-0.3836800498159738,0.7022594472828166,87,3.581250924721013,0.0005655437820887923,僅後半段
4062.T,Ibiden,3264.TWO,欣銓,79,-0.2700113615754767,0.7878646145142887,87,3.4018957923684408,0.001017508412928007,僅後半段
4062.T,Ibiden,3711.TW,日月光,79,-0.2115771532654584,0.8329887860486361,87,4.3909514833123815,3.196942355922661e-05,僅後半段
4062.T,Ibiden,6239.TW,力成,79,-0.7026776550799696,0.4843485369592351,87,0.5310736956597203,0.5967366425183693,兩段均不顯著
4062.T,Ibiden,8046.TW,南電,79,0.6340384015199407,0.5279108445977615,87,3.231162117301404,0.0017478416798657464,僅後半段
600584.SS,長電科技,3189.TW,景碩,81,0.33356568814284004,0.7395800385088646,98,3.459875240505222,0.0008047414796195564,僅後半段
6239.TW,力成,3264.TWO,欣銓,72,1.275495359049775,0.20629151252331615,82,3.0621073405367256,0.0029823279376877954,僅後半段
