ticker,name,out_degree,in_degree,sum_g_leading,sum_g_led,WLS,WLS_zero_reason
2330.TW,TSMC 台積電,7,0,26.995,0.0,26.995,
4062.T,Ibiden,7,1,23.5015,2.4295,21.0721,
005930.KS,Samsung 三星,2,1,5.3343,2.7243,2.61,
600584.SS,JCET 長電,1,0,2.1755,0.0,2.1755,
3711.TW,ASE 日月光,3,3,13.5161,11.3406,2.1754,
002156.SZ,Tongfu 通富,0,0,0.0,0.0,0.0,無任何顯著關係
002185.SZ,Huatian 華天,0,0,0.0,0.0,0.0,無任何顯著關係
3037.TW,Unimicron 欣興,2,2,5.6222,5.8327,-0.2105,
2449.TW,KYEC 京元電子,1,1,2.4414,2.8729,-0.4315,
3189.TW,Kinsus 景碩,0,4,0.0,10.6969,-10.6969,
8046.TW,Nan Ya PCB 南電,0,4,0.0,12.4125,-12.4125,
6239.TW,Powertech 力成,1,3,2.6978,15.4516,-12.7538,
3264.TWO,Ardentec 欣銓,0,5,0.0,18.5227,-18.5227,
