cause,effect,n_obs,adf_p_cause,adf_p_effect,maxlag_searched,lag_aic,lag_bic,lag_used_bic,bic_lag_floored,F_bic,df_num_bic,df_denom_bic,p_bic,chi2_bic,chi2_p_bic,hac_F_bic,hac_p_bic,hac_maxlags,sig_raw_bic,sig_raw_hac_bic,lag_used_aic,aic_lag_floored,aic_at_boundary,F_aic,p_aic,sig_raw_aic,p_bic_fdr_bh,p_bic_bonf,sig_fdr_bh,sig_bonf,hac_p_bic_fdr_bh,sig_hac_fdr_bh,alignment_robust
002156.SZ,002185.SZ,1250,0.0,0.0,10,4,0,1,True,0.1451890533922725,1,1246,0.703240889591825,0.14553862575196497,0.7028357951791315,0.11780538012073849,0.7314849296841404,6,False,False,4,False,False,1.8050135417165776,0.1254493429333676,False,0.7982734422393689,1.0,False,False,0.8303342445063215,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,005930.KS,1250,0.0,8.911787422369986e-10,10,7,2,2,False,3.95283255964892,2,1243,0.019442083609520742,7.937465863945056,0.01889736221553057,1.8248628708477996,0.16167146430341323,6,True,False,7,False,False,1.3634021292508687,0.21704690067494797,False,0.07039375099998889,1.0,False,False,0.3897858364005882,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,2330.TW,1250,0.0,6.3567608108805994e-18,10,0,0,1,True,1.6592890844195978,1,1246,0.19793849642873293,1.6632841624719723,0.19716048560874266,1.776716876507658,0.18279666341200915,6,False,False,1,True,False,1.6592890844195978,0.19793849642873293,False,0.3646235460529291,1.0,False,False,0.40868965691628895,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,2449.TW,1250,0.0,0.0,10,0,0,1,True,1.346469618739241,1,1246,0.24611853188509347,1.3497115199079552,0.2453285556106844,1.155661558615718,0.28257523768718257,6,False,False,1,True,False,1.346469618739241,0.24611853188509347,False,0.4232333306567847,1.0,False,False,0.5071863240539174,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,3037.TW,1250,0.0,2.227320134455109e-30,10,0,0,1,True,0.7029337518265703,1,1246,0.40196046896245796,0.7046262086929262,0.40123357357169864,0.47560249897174806,0.49054939905183625,6,False,False,1,True,False,0.7029337518265703,0.40196046896245796,False,0.5665214663229273,1.0,False,False,0.6960498229789568,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,3189.TW,1250,0.0,0.0,10,0,0,1,True,0.7879333714139122,1,1246,0.3748970702385843,0.7898304822600131,0.3741513888574446,0.5606556752831574,0.4541375013624753,6,False,False,1,True,False,0.7879333714139122,0.3748970702385843,False,0.5467248940979355,1.0,False,False,0.6860768949414843,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,3264.TWO,1250,0.0,7.79526395883989e-27,10,7,0,1,True,5.967659819596541,1,1246,0.014708716189733777,5.982028181923017,0.014452373097311047,4.768904473575291,0.029164237280575524,6,True,True,7,False,False,1.6851688285533417,0.1086006123963393,False,0.056160552724438054,1.0,False,False,0.1303082942323587,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,3711.TW,1250,0.0,0.0,10,0,0,1,True,4.9025670807845785,1,1246,0.026997280135057332,4.914371014365921,0.026634159194130248,4.845066447679449,0.02790816766196927,6,True,True,1,True,False,4.9025670807845785,0.026997280135057332,True,0.09131840585425928,1.0,False,False,0.1302381157558566,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,4062.T,1250,0.0,0.0,10,2,0,1,True,0.06873948868393111,1,1246,0.7932243388876056,0.06890499307081056,0.7929378309295528,0.05500214985908724,0.81461567029227,6,False,False,2,False,False,0.32834767358403427,0.7201750520708692,False,0.8675891206583186,1.0,False,False,0.8956507369705586,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,600584.SS,1250,0.0,0.0,10,0,0,1,True,0.49148661681932476,1,1246,0.48339580912138225,0.49266997143445956,0.4827387027002209,0.3089036562313734,0.578453506865796,6,False,False,1,True,False,0.49148661681932476,0.48339580912138225,False,0.6424881007309511,1.0,False,False,0.7468808325755232,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,6239.TW,1250,0.0,0.0,10,0,0,1,True,5.668163160100573,1,1246,0.017425123024799902,5.681810422925855,0.017141671241976925,3.8622640817022384,0.049605505953725045,6,True,True,1,True,False,5.668163160100573,0.017425123024799902,True,0.06534421134299964,1.0,False,False,0.18940284091422288,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,8046.TW,1250,0.0,0.0,10,0,0,1,True,0.4249921061296945,1,1246,0.5145767637546313,0.4260153616019169,0.5139506550400894,0.2960300780020639,0.5864793195883611,6,False,False,1,True,False,0.4249921061296945,0.5145767637546313,False,0.6589092706614182,1.0,False,False,0.7468808325755232,False,"robust (intra-Asia, no cross-timezone shift)"
002156.SZ,AMKR,1250,0.0,7.046795987286572e-14,10,2,0,1,True,21.69773945026459,1,1246,3.5339251229312077e-06,21.749981198539704,3.105929106427703e-06,14.93101085803023,0.00011725607966408584,6,True,True,2,False,False,13.127281401478488,2.281753356493013e-06,True,5.817875143774827e-05,0.0007421242758155536,True,True,0.0027359751921620028,True,"alignment-sensitive, not interpreted as lead-lag"
002156.SZ,INTC,1250,0.0,0.0,10,1,0,1,True,11.334961788722437,1,1246,0.0007838069818811219,11.362253028984208,0.0007495184805278898,8.225836973561744,0.004199405681365722,6,True,True,1,False,False,11.334961788722437,0.0007838069818811219,True,0.005068885258143497,0.1645994661950356,True,False,0.02755859978396255,True,"alignment-sensitive, not interpreted as lead-lag"
