cause,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2330.TW,,0.00012645521242081331,5.922318773433487e-06,0.0013398465718908702,5.8183880609910535e-06,0.004500101331665183,0.00020546758496580968,0.00018738459003671035,0.8058332660127917,0.9053040430425197,0.565242304716703,0.03187382404123014,0.33725098646873075,3.601541755670131e-06,0.014131189006605987
3711.TW,0.8138692720592264,,1.0650076027573773e-06,0.24835328106471652,2.4722305073484626e-06,0.3663593135959169,0.011574214404606407,0.014117924240721528,0.49372349591385956,0.5030150366210866,0.35157072853557403,0.07688482213074098,0.6825337485082598,5.250367266621577e-08,0.0016635652926014254
6239.TW,0.16022106784882617,0.03991428489289957,,0.45890370549077253,0.0020054078824446268,0.4411065929356808,0.10169440177117611,0.07637729543713262,0.5514674068592477,0.426405542704674,0.5722301415051625,0.12968670676851946,0.1741157689066795,7.441261858880618e-07,0.00022014301824214172
2449.TW,0.5786730573042183,0.032228662732830135,0.027395521756277783,,0.0036190349124453594,0.8368341324306727,0.6317959757437921,0.29207678257049247,0.8248819300338301,0.23348539355684683,0.9411832505980438,0.36412564062862995,0.07149784499429998,4.296948626994699e-06,0.0029333096008048727
3264.TWO,0.7584571189582308,0.11760470502785744,0.09721017484634423,0.3673524701698939,,0.6584878138568117,0.3190000479073466,0.8470092796334527,0.24431828760198776,0.9823795827195526,0.827312157675835,0.3810186063123431,0.61709218901031,1.5748060298850222e-05,0.09680268985313843
3037.TW,0.9794529116688352,0.053759760351732654,0.023655578760993314,0.8591841088759898,0.04117048308739068,,0.00048035465620592803,0.004968754955404017,0.6530710237332696,0.8861750360823895,0.09468126214966786,0.39766885715658584,0.5119417108853909,3.866294271172779e-09,0.00011622271357163273
8046.TW,0.5081417757969546,0.07581004812429791,0.7724444182576156,0.6080541436886047,0.24492203036289714,0.6040265786002096,,0.15475380871292588,0.25361689535494863,0.08328160454204424,0.042246783350255425,0.7115036585862655,0.9303464555314185,1.3089851497051097e-07,0.0007965391119939781
3189.TW,0.2600179793962241,0.6341956867076615,0.9170903905580465,0.26959969006659174,0.8103202140333184,0.1621559364385688,0.41623935061820394,,0.24322102312041943,0.4948046370686986,0.12251935457509879,0.34169340006781945,0.12671811706832056,2.0531453571414106e-07,0.010621938971605856
600584.SS,0.08993619152665779,0.02947695259982916,0.012716824032096999,0.2271066000570544,0.03624583725042255,0.1640237002330317,0.08514999768116727,0.006676404900713864,,0.14137237575224465,0.17524057935539533,0.140373494483,0.7082282385957805,2.6725249398876507e-07,1.0183799609790606e-05
002156.SZ,0.19793849642873293,0.026997280135057332,0.017425123024799902,0.24611853188509347,0.014708716189733777,0.40196046896245796,0.5145767637546313,0.3748970702385843,0.48339580912138225,,0.703240889591825,0.019442083609520742,0.7932243388876056,3.5339251229312077e-06,0.0007838069818811219
002185.SZ,0.4531333172823161,0.3019400319472635,0.07755225720390087,0.4466234221235622,0.0722050744630581,0.6445198722114842,0.65197856375354,0.1624620606524403,0.3324111568249517,0.5685594148132409,,0.020989060181727078,0.2567494693885151,0.0011200863561515416,0.00016235884923405895
005930.KS,0.10829530116365756,0.0012451354785127534,0.3926799934017339,0.7381515630873549,0.29233058635204245,0.13320043479301075,0.12373678481949568,0.03526279589499404,0.1007701497686759,0.024655436520915192,0.03291206354127134,,0.0037196649419486074,2.1508116922429174e-11,1.2294766619596988e-05
4062.T,0.152023845210842,2.89874190215252e-05,5.604939084388796e-05,0.018376791277310088,0.0028748358154816085,0.00032664115619900834,0.0003386272636184981,0.00323240804495515,0.2789191926645692,0.5217126704311927,0.03925213418481566,0.00188685978567569,,2.7120902830688935e-10,7.934124613315627e-07
AMKR,0.15153957334080115,0.24280658343456665,0.0729566789213219,0.03166729986059295,0.0001580074695721,0.7356920629057542,0.5450398643777157,0.262873509092464,0.042402821831683105,0.13285419579774682,0.08050662639232069,0.29929115299286874,0.6266664070622487,,0.424670355342714
INTC,0.3144083430075215,0.5993402217655155,0.38676060881009167,0.6645817296963489,0.012788221951833097,0.24990920476876813,0.20006421868667257,0.07630692314513426,0.8938031119669411,0.9656025699879006,0.4760919984805738,0.011997651316041379,0.02904231621019318,0.9610738766449983,
