pair,type,lag,dir1,F1,p1,p1_fdr,hac_p1,dir2,F2,p2,p2_fdr,hac_p2
005930.KS <-> 4062.T,bidirectional,2,005930.KS->4062.T,5.619373737305818,0.0037196649419486074,0.017752946313845625,0.016184865344787594,4062.T->005930.KS,6.304604197225968,0.00188685978567569,0.010427383026102497,0.0568198211107563
005930.KS -> 3711.TW,unidirectional,2,005930.KS->3711.TW,6.724630883090966,0.0012451354785127534,0.00747081287107652,0.019811687140393542,,,,,
2330.TW -> 2449.TW,unidirectional,1,2330.TW->2449.TW,10.333548646045475,0.0013398465718908702,0.00781577166936341,0.003969597028420658,,,,,
2330.TW -> 3037.TW,unidirectional,1,2330.TW->3037.TW,8.09957422419281,0.004500101331665183,0.021000472881104185,0.006711437401990868,,,,,
2330.TW -> 3189.TW,unidirectional,1,2330.TW->3189.TW,14.037619971683274,0.00018738459003671035,0.0015134909195272759,0.001228507433390109,,,,,
2330.TW -> 3264.TWO,unidirectional,1,2330.TW->3264.TWO,20.725755673681828,5.8183880609910535e-06,7.773043390131451e-05,9.564685773361612e-05,,,,,
2330.TW -> 3711.TW,unidirectional,1,2330.TW->3711.TW,14.786841338305157,0.00012645521242081331,0.001154591069929165,0.002330603122486021,,,,,
2330.TW -> 6239.TW,unidirectional,1,2330.TW->6239.TW,20.69128831110865,5.922318773433487e-06,7.773043390131451e-05,6.767120687373899e-05,,,,,
2330.TW -> 8046.TW,unidirectional,1,2330.TW->8046.TW,13.862482790325775,0.00020546758496580968,0.001598081216400742,0.0005403719379431104,,,,,
2449.TW -> 3264.TWO,unidirectional,1,2449.TW->3264.TWO,8.497956015427338,0.0036190349124453594,0.017674356549151757,0.022223246940051802,,,,,
3037.TW -> 3189.TW,unidirectional,1,3037.TW->3189.TW,7.918999750322403,0.004968754955404017,0.022683446535540077,0.008898968346060016,,,,,
3037.TW -> 8046.TW,unidirectional,1,3037.TW->8046.TW,12.255189174712942,0.00048035465620592803,0.0032540154130078994,0.0035493699529273344,,,,,
3711.TW -> 3264.TWO,unidirectional,1,3711.TW->3264.TWO,22.39571431448874,2.4722305073484626e-06,4.719712786756156e-05,0.0002324429019828908,,,,,
3711.TW -> 6239.TW,unidirectional,1,3711.TW->6239.TW,24.045500742024153,1.0650076027573773e-06,2.2365159657904925e-05,0.0004128902067297863,,,,,
3711.TW -> 8046.TW,unidirectional,1,3711.TW->8046.TW,6.393859188982336,0.011574214404606407,0.049603776019741745,0.06069649810497975,,,,,
4062.T -> 3037.TW,unidirectional,1,4062.T->3037.TW,12.983444933604092,0.00032664115619900834,0.002365332510406612,0.003971133366344513,,,,,
4062.T -> 3189.TW,unidirectional,1,4062.T->3189.TW,8.705157769036196,0.00323240804495515,0.01616204022477575,0.030023418725923977,,,,,
4062.T -> 3264.TWO,unidirectional,1,4062.T->3264.TWO,8.920596101650878,0.0028748358154816085,0.015024268687049348,0.03527538463169186,,,,,
4062.T -> 3711.TW,unidirectional,1,4062.T->3711.TW,17.61343178797879,2.89874190215252e-05,0.0003043678997260146,0.0013016890237354645,,,,,
4062.T -> 6239.TW,unidirectional,1,4062.T->6239.TW,16.344444060184664,5.604939084388796e-05,0.0005604939084388796,0.0014326354024056989,,,,,
4062.T -> 8046.TW,unidirectional,1,4062.T->8046.TW,12.915272865279913,0.0003386272636184981,0.002370390845329487,0.010100792461021366,,,,,
600584.SS -> 3189.TW,unidirectional,1,600584.SS->3189.TW,7.3827638848799655,0.006676404900713864,0.029830745301061945,0.026013861800564263,,,,,
6239.TW -> 3264.TWO,unidirectional,1,6239.TW->3264.TWO,9.585087229697693,0.0020054078824446268,0.010798350136240297,0.013388307866316486,,,,,
