cause,effect,n1,lag1,F1,p1,hac_p1,n2,lag2,F2,p2,hac_p2,p1_fdr,p2_fdr,sig1_raw,sig2_raw,sig1_fdr,sig2_fdr,classification
005930.KS,4062.T,630,1,0.392,0.5315699923759085,0.5235,621,2,6.301,0.001954599632536912,0.0013,0.5546817311748611,0.00670148445441227,False,True,False,True,僅後半段顯著(AI週期新現象)
4062.T,005930.KS,630,1,3.208,0.07375538212010153,0.1207,621,2,4.719,0.009254345430229726,0.0624,0.11063307318015231,0.01904285323345393,False,True,False,True,僅後半段顯著(AI週期新現象)
005930.KS,3711.TW,630,1,0.178,0.6735978889832224,0.6683,621,1,2.715,0.09993922751372845,0.258,0.6735978889832224,0.09993922751372845,False,False,False,False,兩段均不顯著
2330.TW,2449.TW,630,1,5.07,0.0246959751622475,0.0567,621,2,4.77,0.008793748937108551,0.0043,0.049391950324495,0.01904285323345393,True,True,True,True,全期間穩定(兩段FDR顯著)
2330.TW,3037.TW,630,1,3.494,0.06205574986296246,0.0341,621,1,3.988,0.0462599872217665,0.0678,0.09928919978073994,0.0555119846661198,False,True,False,False,兩段均不顯著
2330.TW,3189.TW,630,1,6.077,0.013962093392306932,0.0086,621,1,7.121,0.00781898687448186,0.034,0.03723224904615182,0.01904285323345393,True,True,True,True,全期間穩定(兩段FDR顯著)
2330.TW,3264.TWO,630,1,10.282,0.0014121431103027385,0.0031,621,1,10.662,0.0011542028675892817,0.0047,0.008472858661816431,0.0055401737644285515,True,True,True,True,全期間穩定(兩段FDR顯著)
2330.TW,3711.TW,630,1,2.953,0.0861958851219379,0.128,621,1,11.294,0.0008254696985022297,0.0057,0.11492784682925054,0.004952818191013378,False,True,False,True,僅後半段顯著(AI週期新現象)
2330.TW,6239.TW,630,1,25.397,6.116857260893137e-07,0.0,621,1,6.765,0.009521426616726964,0.0157,1.468045742614353e-05,0.01904285323345393,True,True,True,True,全期間穩定(兩段FDR顯著)
2330.TW,8046.TW,630,1,9.724,0.0019023363197580015,0.0041,621,1,4.929,0.026774441494792967,0.0321,0.009131214334838407,0.043514584379769454,True,True,True,True,全期間穩定(兩段FDR顯著)
2449.TW,3264.TWO,630,1,3.0,0.0837414756556343,0.0831,621,1,4.887,0.02742162829686928,0.0729,0.11492784682925054,0.043514584379769454,False,True,False,True,僅後半段顯著(AI週期新現象)
3037.TW,3189.TW,630,1,2.669,0.10285117439867757,0.1245,621,1,4.789,0.0290097229198463,0.0377,0.12342140927841308,0.043514584379769454,False,True,False,True,僅後半段顯著(AI週期新現象)
3037.TW,8046.TW,630,1,4.307,0.0383606721690107,0.0387,621,1,7.681,0.005748786232932547,0.0301,0.0672546696659268,0.01724635869879764,True,True,False,True,僅後半段顯著(AI週期新現象)
3711.TW,3264.TWO,630,1,8.791,0.003142291079681148,0.0048,621,1,12.307,0.0004841185422511203,0.0056,0.01077356941604965,0.004805471451695105,True,True,True,True,全期間穩定(兩段FDR顯著)
3711.TW,6239.TW,630,1,12.54,0.00042794805381204726,0.001,621,1,11.897,0.0006006839314618882,0.0074,0.003423584430496378,0.004805471451695105,True,True,True,True,全期間穩定(兩段FDR顯著)
3711.TW,8046.TW,630,1,1.443,0.23012820449070517,0.2246,621,1,3.639,0.056900511186741456,0.1611,0.26300366227509164,0.06207328493099068,False,False,False,False,兩段均不顯著
4062.T,3037.TW,630,1,8.819,0.003095476405165414,0.0098,621,1,5.268,0.02205713093169352,0.0569,0.01077356941604965,0.04072085710466496,True,True,True,True,全期間穩定(兩段FDR顯著)
4062.T,3189.TW,630,1,7.142,0.007727389760466763,0.0158,621,1,2.814,0.09393634561029887,0.2115,0.02318216928140029,0.09802053454987708,True,False,True,False,僅前半段顯著(消退中)
4062.T,3264.TWO,630,1,5.284,0.021852939469119242,0.0221,621,1,4.344,0.03754870124607685,0.1225,0.04767914065989653,0.050064934994769134,True,True,True,False,僅前半段顯著(消退中)
4062.T,3711.TW,630,1,1.02,0.31282400374624975,0.3285,621,1,14.821,0.00013052936058657335,0.0017,0.34126254954136337,0.0031327046540777603,False,True,False,True,僅後半段顯著(AI週期新現象)
4062.T,6239.TW,630,1,4.269,0.039231890638457306,0.0467,621,1,9.975,0.0016640949525396705,0.0055,0.0672546696659268,0.006656379810158682,True,True,False,True,僅後半段顯著(AI週期新現象)
4062.T,8046.TW,630,1,12.811,0.0003711698772916525,0.0012,621,1,3.783,0.05222209017354968,0.1537,0.003423584430496378,0.05968238876977106,True,False,True,False,僅前半段顯著(消退中)
600584.SS,3189.TW,630,1,2.679,0.10219415745238922,0.0764,621,1,4.008,0.04571330969307731,0.1413,0.12342140927841308,0.0555119846661198,False,True,False,False,兩段均不顯著
6239.TW,3264.TWO,630,1,5.4,0.02046175651282771,0.0179,621,1,4.63,0.03180943199912273,0.0712,0.04767914065989653,0.0449074334105262,True,True,True,True,全期間穩定(兩段FDR顯著)
