ticker,name,out_degree,in_degree,leader_score_outedge_eig,leader_score_outedge_eig_numpy,follower_score_inedge_eig,follower_score_inedge_eig_numpy
2330.TW,TSMC 台積電,7,0,1.0046019297013766e-09,0.0,5.359248922782133e-14,0.0
4062.T,Ibiden,7,1,0.7071067811904705,0.7071067811865475,0.11785113013489915,0.11785113019775792
3711.TW,ASE 日月光,3,3,5.794419938934383e-11,0.0,0.23570226027194197,0.23570226039551584
3037.TW,Unimicron 欣興,2,2,5.209189956200721e-12,0.0,0.11785113013709644,0.11785113019775792
005930.KS,Samsung 三星,2,1,0.7071067811826245,0.7071067811865475,0.11785113013489915,0.11785113019775792
6239.TW,Powertech 力成,1,3,2.636750471657155e-12,0.0,0.3535533904485361,0.3535533905932738
2449.TW,KYEC 京元電子,1,1,2.636750471657155e-12,0.0,2.250884547568495e-12,0.0
600584.SS,JCET 長電,1,0,2.636750471657155e-12,0.0,5.359248922782133e-14,0.0
3264.TWO,Ardentec 欣銓,0,5,6.431098711358915e-14,0.0,0.7071067814661172,0.7071067811865476
8046.TW,Nan Ya PCB 南電,0,4,6.431098711358915e-14,0.0,0.4714045206273275,0.4714045207910317
3189.TW,Kinsus 景碩,0,4,6.431098711358915e-14,0.0,0.23570226031808517,0.23570226039551584
002156.SZ,Tongfu 通富,0,0,6.431098711358915e-14,0.0,5.359248922782133e-14,0.0
002185.SZ,Huatian 華天,0,0,6.431098711358915e-14,0.0,5.359248922782133e-14,0.0
