leader,leader_name,follower,follower_name,follower_RS_peak_date,follower_RS_peak_pct,leader_ref_jump_date,leader_ref_jump_pct,day_diff_peak_minus_jump,n_leader_jumps_total,order
2330.TW,TSMC 台積電,2449.TW,KYEC 京元電子,2026-07-02,5.4,2026-07-31,9.51,-18.0,1,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
2330.TW,TSMC 台積電,3711.TW,ASE 日月光,2026-07-22,13.51,2026-07-31,9.51,-7.0,1,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
2330.TW,TSMC 台積電,6239.TW,Powertech 力成,2026-06-18,7.71,2026-07-31,9.51,-26.0,1,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
2330.TW,TSMC 台積電,8046.TW,Nan Ya PCB 南電,2026-07-22,55.13,2026-07-31,9.51,-7.0,1,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
3037.TW,Unimicron 欣興,3189.TW,Kinsus 景碩,2026-07-14,20.02,2026-07-29,-10.48,-9.0,2,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
3037.TW,Unimicron 欣興,8046.TW,Nan Ya PCB 南電,2026-07-15,56.51,2026-07-29,-10.48,-8.0,2,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
3711.TW,ASE 日月光,6239.TW,Powertech 力成,2026-06-11,8.16,2026-07-28,-9.3,-28.0,4,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
4062.T,Ibiden,005930.KS,Samsung 三星,2026-06-10,0.4,2026-06-15,17.46,-3.0,3,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
4062.T,Ibiden,3264.TWO,Ardentec 欣銓,2026-06-10,4.31,2026-06-15,17.46,-3.0,3,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
4062.T,Ibiden,6239.TW,Powertech 力成,2026-06-11,5.76,2026-06-15,17.46,-2.0,3,⚠跟隨者先(異常): 高點前領先者無任何顯著跳空
4062.T,Ibiden,3037.TW,Unimicron 欣興,2026-08-04,9.78,2026-08-05,21.91,-1.0,3,同步
4062.T,Ibiden,3189.TW,Kinsus 景碩,2026-08-04,15.77,2026-08-05,21.91,-1.0,3,同步
4062.T,Ibiden,3711.TW,ASE 日月光,2026-08-03,13.69,2026-07-31,19.87,1.0,3,同步
005930.KS,Samsung 三星,3711.TW,ASE 日月光,2026-08-10,44.68,2026-07-31,23.75,6.0,2,領先者先
005930.KS,Samsung 三星,4062.T,Ibiden,2026-08-10,52.43,2026-07-31,23.75,6.0,2,領先者先
2330.TW,TSMC 台積電,3037.TW,Unimicron 欣興,2026-08-27,22.85,2026-07-31,9.51,17.0,1,領先者先
2330.TW,TSMC 台積電,3189.TW,Kinsus 景碩,2026-08-27,25.68,2026-07-31,9.51,17.0,1,領先者先
2330.TW,TSMC 台積電,3264.TWO,Ardentec 欣銓,2026-09-10,21.2,2026-07-31,9.51,26.0,1,領先者先
2449.TW,KYEC 京元電子,3264.TWO,Ardentec 欣銓,2026-08-18,27.11,2026-07-29,-10.49,12.0,4,領先者先
3711.TW,ASE 日月光,3264.TWO,Ardentec 欣銓,2026-09-02,15.33,2026-08-03,9.45,20.0,4,領先者先
3711.TW,ASE 日月光,8046.TW,Nan Ya PCB 南電,2026-08-27,47.64,2026-08-03,9.45,16.0,4,領先者先
4062.T,Ibiden,8046.TW,Nan Ya PCB 南電,2026-07-22,46.47,2026-06-15,17.46,22.0,3,領先者先
6239.TW,Powertech 力成,3264.TWO,Ardentec 欣銓,2026-09-10,20.06,2026-08-10,9.44,20.0,4,領先者先
600584.SS,JCET 長電,3189.TW,Kinsus 景碩,2026-09-10,45.96,,,,0,領先者整個窗口無顯著跳空(2sd)
