cause,cause_name,effect,effect_name,L_cause,L_effect,S_ij,p_bic,g_ij,Alignment_ij
2330.TW,TSMC 台積電,2449.TW,KYEC 京元電子,1,3,1,0.0013398465718908,2.8729,2.8729
2330.TW,TSMC 台積電,3037.TW,Unimicron 欣興,1,2,1,0.0045001013316651,2.3468,2.3468
2330.TW,TSMC 台積電,3189.TW,Kinsus 景碩,1,2,1,0.0001873845900367,3.7273,3.7273
2330.TW,TSMC 台積電,3264.TWO,Ardentec 欣銓,1,3,1,5.8183880609910535e-06,5.2352,5.2352
2330.TW,TSMC 台積電,3711.TW,ASE 日月光,1,3,1,0.0001264552124208,3.8981,3.8981
2330.TW,TSMC 台積電,6239.TW,Powertech 力成,1,3,1,5.922318773433487e-06,5.2275,5.2275
2330.TW,TSMC 台積電,8046.TW,Nan Ya PCB 南電,1,2,1,0.0002054675849658,3.6873,3.6873
4062.T,Ibiden,3264.TWO,Ardentec 欣銓,2,3,1,0.0028748358154816,2.5414,2.5414
4062.T,Ibiden,3711.TW,ASE 日月光,2,3,1,2.89874190215252e-05,4.5378,4.5378
4062.T,Ibiden,6239.TW,Powertech 力成,2,3,1,5.604939084388796e-05,4.2514,4.2514
2449.TW,KYEC 京元電子,3264.TWO,Ardentec 欣銓,3,3,0,0.0036190349124453,2.4414,0.0
3037.TW,Unimicron 欣興,3189.TW,Kinsus 景碩,2,2,0,0.004968754955404,2.3038,0.0
3037.TW,Unimicron 欣興,8046.TW,Nan Ya PCB 南電,2,2,0,0.0004803546562059,3.3184,0.0
3711.TW,ASE 日月光,3264.TWO,Ardentec 欣銓,3,3,0,2.472230507348462e-06,5.6069,0.0
3711.TW,ASE 日月光,6239.TW,Powertech 力成,3,3,0,1.0650076027573773e-06,5.9726,0.0
4062.T,Ibiden,3037.TW,Unimicron 欣興,2,2,0,0.000326641156199,3.4859,0.0
4062.T,Ibiden,3189.TW,Kinsus 景碩,2,2,0,0.0032324080449551,2.4905,0.0
4062.T,Ibiden,8046.TW,Nan Ya PCB 南電,2,2,0,0.0003386272636184,3.4703,0.0
6239.TW,Powertech 力成,3264.TWO,Ardentec 欣銓,3,3,0,0.0020054078824446,2.6978,0.0
3711.TW,ASE 日月光,8046.TW,Nan Ya PCB 南電,3,2,-1,0.0115742144046064,1.9365,-1.9365
600584.SS,JCET 長電,3189.TW,Kinsus 景碩,3,2,-1,0.0066764049007138,2.1755,-2.1755
