cause,cause_name,effect,effect_name,granger_p_bic,granger_lag,TE_cause_to_effect,TE_effect_to_cause,TE_direction,TE_p_value,TE_sig_5pct,consistent_with_granger
005930.KS,Samsung 三星,4062.T,Ibiden,0.0037196649419486,2,1.13234,1.12165,TE支持cause->effect,1.0,否,是
4062.T,Ibiden,005930.KS,Samsung 三星,0.0018868597856756,2,1.12165,1.13234,TE支持effect->cause(反向),1.0,否,否
005930.KS,Samsung 三星,3711.TW,ASE 日月光,0.0012451354785127,2,1.14404,1.1241,TE支持cause->effect,1.0,否,是
2330.TW,TSMC 台積電,2449.TW,KYEC 京元電子,0.0013398465718908,1,0.04442,0.04612,TE支持effect->cause(反向),0.6084,否,否
2330.TW,TSMC 台積電,3037.TW,Unimicron 欣興,0.0045001013316651,1,0.05725,0.05544,TE支持cause->effect,0.1059,否,是
2330.TW,TSMC 台積電,3189.TW,Kinsus 景碩,0.0001873845900367,1,0.04017,0.04281,TE支持effect->cause(反向),0.8422,否,否
2330.TW,TSMC 台積電,3264.TWO,Ardentec 欣銓,5.8183880609910535e-06,1,0.05954,0.04966,TE支持cause->effect,0.0619,否,是
2330.TW,TSMC 台積電,3711.TW,ASE 日月光,0.0001264552124208,1,0.04681,0.03946,TE支持cause->effect,0.4615,否,是
2330.TW,TSMC 台積電,6239.TW,Powertech 力成,5.922318773433487e-06,1,0.04233,0.05551,TE支持effect->cause(反向),0.7393,否,否
2330.TW,TSMC 台積電,8046.TW,Nan Ya PCB 南電,0.0002054675849658,1,0.05678,0.04175,TE支持cause->effect,0.1189,否,是
2449.TW,KYEC 京元電子,3264.TWO,Ardentec 欣銓,0.0036190349124453,1,0.05536,0.04326,TE支持cause->effect,0.1349,否,是
3037.TW,Unimicron 欣興,3189.TW,Kinsus 景碩,0.004968754955404,1,0.03618,0.03978,TE支持effect->cause(反向),0.9441,否,否
3037.TW,Unimicron 欣興,8046.TW,Nan Ya PCB 南電,0.0004803546562059,1,0.0533,0.04552,TE支持cause->effect,0.2148,否,是
3711.TW,ASE 日月光,3264.TWO,Ardentec 欣銓,2.472230507348462e-06,1,0.05743,0.05426,TE支持cause->effect,0.1149,否,是
3711.TW,ASE 日月光,6239.TW,Powertech 力成,1.0650076027573773e-06,1,0.07444,0.07876,TE支持effect->cause(反向),0.002,是,否
3711.TW,ASE 日月光,8046.TW,Nan Ya PCB 南電,0.0115742144046064,1,0.06117,0.04561,TE支持cause->effect,0.042,是,是
4062.T,Ibiden,3037.TW,Unimicron 欣興,0.000326641156199,1,0.06599,0.04737,TE支持cause->effect,0.012,是,是
4062.T,Ibiden,3189.TW,Kinsus 景碩,0.0032324080449551,1,0.04754,0.05651,TE支持effect->cause(反向),0.4805,否,否
4062.T,Ibiden,3264.TWO,Ardentec 欣銓,0.0028748358154816,1,0.05201,0.0383,TE支持cause->effect,0.2647,否,是
4062.T,Ibiden,3711.TW,ASE 日月光,2.89874190215252e-05,1,0.05284,0.05291,TE支持effect->cause(反向),0.2208,否,否
4062.T,Ibiden,6239.TW,Powertech 力成,5.604939084388796e-05,1,0.05656,0.04036,TE支持cause->effect,0.1169,否,是
4062.T,Ibiden,8046.TW,Nan Ya PCB 南電,0.0003386272636184,1,0.04351,0.06,TE支持effect->cause(反向),0.7003,否,否
600584.SS,JCET 長電,3189.TW,Kinsus 景碩,0.0066764049007138,1,0.0553,0.03072,TE支持cause->effect,0.1568,否,是
6239.TW,Powertech 力成,3264.TWO,Ardentec 欣銓,0.0020054078824446,1,0.05792,0.05369,TE支持cause->effect,0.0839,否,是
