alignment,cause,effect,n,lag,F,p,hac_F,hac_p
A_plus1bday (headline),2330.TW,AMKR,1250,1,21.660748553490247,3.6015417556692993e-06,15.770339717412927,7.560680644439426e-05
A_plus1bday (headline),AMKR,2330.TW,1250,1,2.0592096505945343,0.15153957334074047,2.1784747478073623,0.1402057587450569
A_plus1bday (headline),3711.TW,AMKR,1250,1,29.98914354149466,5.2503672666203456e-08,10.7241861011205,0.0010865090221892015
A_plus1bday (headline),AMKR,3711.TW,1250,1,1.365520258873462,0.24280658343456665,1.374943131105637,0.24118852708617952
A_plus1bday (headline),6239.TW,AMKR,1250,1,24.749752482412422,7.441261858879031e-07,11.222104923173063,0.0008324758982866693
A_plus1bday (headline),AMKR,6239.TW,1250,1,3.22065878211039,0.0729566789213219,2.511134859703328,0.11329824928004854
A_plus1bday (headline),2449.TW,AMKR,1250,1,21.316351474010432,4.296948626994699e-06,11.23275242661518,0.0008277563902435019
A_plus1bday (headline),AMKR,2449.TW,1250,1,4.62683978330668,0.03166729986059295,3.5934918528316153,0.05823746339373962
A_plus1bday (headline),3264.TWO,AMKR,1250,1,18.792528698298796,1.5748060298848318e-05,7.166852770701203,0.007523809666489686
A_plus1bday (headline),AMKR,3264.TWO,1250,1,14.362167866848793,0.0001580074695721,14.094471020282459,0.0001818668241258055
A_plus1bday (headline),3037.TW,AMKR,1250,1,35.19161191797259,3.8662942711722155e-09,15.17583504763563,0.00010315229497784477
A_plus1bday (headline),AMKR,3037.TW,1250,1,0.1140001458757514,0.7356920629055999,0.09336607406168455,0.7599917649888728
A_plus1bday (headline),8046.TW,AMKR,1250,1,28.17794114932366,1.3089851497049911e-07,14.894042007172928,0.00011954862296652551
A_plus1bday (headline),AMKR,8046.TW,1250,1,0.3664793219166655,0.5450398643778674,0.2803248735794927,0.5965826782272905
A_plus1bday (headline),3189.TW,AMKR,1250,1,27.28774075726626,2.0531453571412648e-07,10.959150412486828,0.0009580872195971589
A_plus1bday (headline),AMKR,3189.TW,1250,1,1.2546949991998682,0.2628735090924393,1.1964391919835824,0.2742459451667576
A_plus1bday (headline),600584.SS,AMKR,1250,1,26.767027074087544,2.6725249398876507e-07,22.16043339133013,2.7884621134371657e-06
