cause,effect,A_plus1bday (headline),B_minus1bday (reverse placebo),C_noshift (naive calendar)
002156.SZ,AMKR,0.00013204361259778729,0.40673187728845106,0.09925841773922386
002156.SZ,INTC,0.00424789906825482,0.8330277778230226,0.7339458655098542
002185.SZ,AMKR,0.0015619461678588722,0.29110078462678546,0.04514066218407365
002185.SZ,INTC,0.00019601035658835787,0.16665140492604785,0.5276005547635638
005930.KS,AMKR,3.2792284709534906e-06,0.07086445591256345,0.4101774900783306
005930.KS,INTC,0.0007849797690350246,0.7990479679981093,0.4041080966927936
2330.TW,AMKR,7.560680644439426e-05,0.7350465967894451,0.43612231215271846
2330.TW,INTC,0.05286492295623976,0.7503354636134039,0.7231537643505749
2449.TW,AMKR,0.0008277563902435019,0.15912546351900525,0.8455192783387299
2449.TW,INTC,0.02864358081287549,0.41614646409007583,0.4172927141308692
3037.TW,AMKR,0.00010315229497784477,0.8046142176492351,0.8445251539541596
3037.TW,INTC,0.0024152694643693696,0.5644744470349785,0.8430812701496455
3189.TW,AMKR,0.0009580872195971589,0.8484740547714615,0.33348851432184257
3189.TW,INTC,0.03990647915159334,0.7210557063300389,0.5417653423700607
3264.TWO,AMKR,0.007523809666489686,0.8348961412932016,0.5204223701728659
3264.TWO,INTC,0.1922858262831426,0.6667031935351766,0.23854894638149723
3711.TW,AMKR,0.0010865090221892015,0.16215975720869752,0.2684122365128225
3711.TW,INTC,0.017380388862609623,0.7473691588051109,0.7148806593155237
4062.T,AMKR,2.6096893229430077e-05,0.749622395391381,0.3356254444583122
4062.T,INTC,0.0008874290940188701,0.695359567012062,0.604511531446134
600584.SS,AMKR,2.7884621134371657e-06,0.8889295575126083,0.24305411851404124
600584.SS,INTC,0.00022863599842675746,0.8145567927431656,0.8928673010174657
6239.TW,AMKR,0.0008324758982866693,0.380040881985212,0.7291633330888295
6239.TW,INTC,0.010218036524195067,0.6962709777574274,0.8206139274567171
8046.TW,AMKR,0.00011954862296652551,0.8317479989132917,0.5897502099792968
8046.TW,INTC,0.0027055177246259462,0.6839217012362511,0.5391296214244372
AMKR,002156.SZ,0.20758271098459402,0.0012869593902773585,0.006240362961234409
AMKR,002185.SZ,0.20868993471303673,0.010254245645294558,0.0021558299003880915
AMKR,005930.KS,0.5079899225178239,8.902551017192883e-06,6.585271364817372e-09
AMKR,2330.TW,0.1402057587450569,1.5103097908375592e-22,1.4814227883422314e-31
AMKR,2449.TW,0.05823746339373962,9.709783230828023e-11,1.3920594909678125e-08
AMKR,3037.TW,0.7599917649888728,3.622610345881627e-13,1.3419105968437675e-14
AMKR,3189.TW,0.2742459451667576,7.833283866904934e-12,6.400577810094822e-14
AMKR,3264.TWO,0.0001818668241258055,2.030616403696951e-06,2.3021156198365716e-06
AMKR,3711.TW,0.24118852708617952,3.123069721202006e-20,1.0326771323512975e-24
AMKR,4062.T,0.6422709888388256,1.087087743248448e-12,2.5204520223360414e-15
AMKR,600584.SS,0.10753258697634495,6.885253645955661e-05,0.004228268378415525
AMKR,6239.TW,0.11329824928004854,8.803873510510785e-11,4.734364673319753e-13
AMKR,8046.TW,0.5965826782272905,9.466261116447226e-14,1.7676358874398948e-14
AMKR,INTC,0.45827730109119635,0.777667785723233,0.8285377785054008
INTC,002156.SZ,0.9676661709050972,0.03171903727442086,1.7056831625529783e-07
INTC,002185.SZ,0.5416405946601579,0.0010363802539561926,7.302278250827853e-06
INTC,005930.KS,0.09052677732630926,2.0844224696383744e-06,3.762419751240463e-07
INTC,2330.TW,0.44090288092688823,1.120575011163657e-12,2.259209925591063e-12
INTC,2449.TW,0.706270985427667,0.00023551223382184356,7.719488497510123e-06
INTC,3037.TW,0.2608596532144968,1.6024052148747678e-10,4.121119329218009e-10
INTC,3189.TW,0.08651877786695414,5.778868052992516e-07,1.4191430748817607e-06
INTC,3264.TWO,0.026281000449235665,0.1821853654056457,0.0023182901708627985
INTC,3711.TW,0.6747705554174315,4.262426660245401e-12,2.945698471676508e-14
INTC,4062.T,0.0528120724441109,1.2853127644186685e-15,1.6708345701045496e-14
INTC,600584.SS,0.8949869530608828,0.0018334423638445264,4.1647898889671266e-07
INTC,6239.TW,0.47121315059106983,5.863198031858435e-06,2.975287726354483e-09
INTC,8046.TW,0.20525912441049599,4.604393033534081e-16,1.4930398353130955e-15
INTC,AMKR,0.9659610762723763,0.24465755118458565,0.7195171015422122
