cause,effect,A_plus1bday (headline),B_minus1bday (reverse placebo),C_noshift (naive calendar)
002156.SZ,AMKR,3.5339251229312077e-06,0.2645612280123859,0.058921153560653826
002156.SZ,INTC,0.000783806981881179,0.7720481336584617,0.6996783586429749
002185.SZ,AMKR,0.0011200863561515416,0.21042189602005587,0.03951068888830604
002185.SZ,INTC,0.00016235884923405895,0.07091027202558313,0.5031635233448349
005930.KS,AMKR,2.150811692242627e-11,0.014774675163595397,0.20595364875038608
005930.KS,INTC,1.2294766619598473e-05,0.6833068947895546,0.21638387121130942
2330.TW,AMKR,3.6015417556692993e-06,0.5687210656177248,0.4505367174320414
2330.TW,INTC,0.014131189006605987,0.7167173768781219,0.7121899341911375
2449.TW,AMKR,4.296948626994699e-06,0.08541745676652866,0.8189015902909527
2449.TW,INTC,0.0029333096008052712,0.37939895658342393,0.3708974031964595
3037.TW,AMKR,3.8662942711722155e-09,0.8091996648750026,0.8158309086442393
3037.TW,INTC,0.00011622271357162407,0.5110848234888317,0.8194702614146565
3189.TW,AMKR,2.0531453571412648e-07,0.7791930536139661,0.2996805373100501
3189.TW,INTC,0.010621938971607969,0.6406018210684589,0.5112813688689067
3264.TWO,AMKR,1.5748060298848318e-05,0.8222396539962205,0.4777932013253172
3264.TWO,INTC,0.09680268985317626,0.5667868112073351,0.2613175456277347
3711.TW,AMKR,5.2503672666203456e-08,0.1780590243364264,0.1768306861961755
3711.TW,INTC,0.00166356529260131,0.7510405643071865,0.6760840775867669
4062.T,AMKR,2.71209028306872e-10,0.42764394674654915,0.16069347871122758
4062.T,INTC,7.934124613316741e-07,0.4283630979693617,0.43462322437299605
600584.SS,AMKR,2.6725249398876507e-07,0.8813643624624714,0.19165505411233816
600584.SS,INTC,1.0183799609790606e-05,0.799680128957202,0.8836903485012654
6239.TW,AMKR,7.441261858879031e-07,0.12285172154149139,0.6448133321717584
6239.TW,INTC,0.00022014301824212413,0.43127496795559017,0.7599938324677575
8046.TW,AMKR,1.3089851497049911e-07,0.7597494399180742,0.573092198750929
8046.TW,INTC,0.0007965391119939781,0.6258511918480443,0.49793365057345285
AMKR,002156.SZ,0.13285419579774682,0.00018719818558440466,0.0002816234169184498
AMKR,002185.SZ,0.08050662639230917,0.0031154817001318594,0.00012747873929764325
AMKR,005930.KS,0.29929115299286874,2.3080899527633658e-25,1.618764302675649e-32
AMKR,2330.TW,0.15153957334074047,2.015597125191672e-41,8.681847391805903e-44
AMKR,2449.TW,0.03166729986059295,7.144540296682401e-23,9.522145410639755e-18
AMKR,3037.TW,0.7356920629055999,2.5021480125264965e-21,8.858174653902728e-21
AMKR,3189.TW,0.2628735090924393,1.3720979929927576e-18,2.8003565598653264e-17
AMKR,3264.TWO,0.0001580074695721,1.0752744829911338e-14,2.002189705295283e-12
AMKR,3711.TW,0.24280658343456665,1.1189592338219993e-44,3.31678342069394e-45
AMKR,4062.T,0.6266664070626518,1.7677520187724584e-29,3.2686129678075766e-34
AMKR,600584.SS,0.042402821831683105,5.4282403883345996e-06,0.00034055289329096435
AMKR,6239.TW,0.0729566789213219,5.757417281878855e-24,3.8275664296671784e-23
AMKR,8046.TW,0.5450398643778674,3.425792833056053e-21,2.3474915973999114e-20
AMKR,INTC,0.42467035534266395,0.7915742260216234,0.842685527446458
INTC,002156.SZ,0.9656025699879006,0.014162213534178797,1.0595612227550614e-07
INTC,002185.SZ,0.4760919984805738,0.0004208468927471201,1.906403885786017e-06
INTC,005930.KS,0.01199765131604251,2.7148240513163036e-17,6.658642230084767e-22
INTC,2330.TW,0.3144083430074898,3.430916850940696e-28,1.8914900394180042e-29
INTC,2449.TW,0.6645817296963489,7.375227447199162e-10,1.946865281577577e-11
INTC,3037.TW,0.24990920476870598,4.1976611117329444e-16,5.917772856475602e-16
INTC,3189.TW,0.07630692314511447,1.429124558286182e-08,9.521864598156243e-09
INTC,3264.TWO,0.012788221951831744,0.0888606468016244,3.289511279111076e-07
INTC,3711.TW,0.599340221765424,8.969310018833235e-23,3.44406529842162e-27
INTC,4062.T,0.0290423162101999,3.954000119862329e-34,3.7040208511266493e-34
INTC,600584.SS,0.8938031119661219,0.00020519119645871493,2.6690240383747313e-09
INTC,6239.TW,0.38676060881009167,5.691015487965834e-13,3.250101192474225e-19
INTC,8046.TW,0.20006421868667257,3.1935974426720255e-19,3.887524075730614e-20
INTC,AMKR,0.9610738766416115,0.16554140208123314,0.6760975938048508
