ticker,name,date,RS_z,Momentum_z,quadrant
2330.TW,TSMC 台積電,2025-10-31,1.316,-0.253,轉弱(Weakening)
2330.TW,TSMC 台積電,2025-11-27,0.374,-0.527,轉弱(Weakening)
2330.TW,TSMC 台積電,2025-12-30,1.128,0.064,領先(Leading)
2330.TW,TSMC 台積電,2026-01-30,1.29,0.591,領先(Leading)
2330.TW,TSMC 台積電,2026-02-26,1.849,0.919,領先(Leading)
2330.TW,TSMC 台積電,2026-03-31,0.66,-1.541,轉弱(Weakening)
2330.TW,TSMC 台積電,2026-04-30,-0.019,-0.087,落後(Lagging)
2330.TW,TSMC 台積電,2026-05-29,-1.269,0.247,轉強(Improving)
2330.TW,TSMC 台積電,2026-06-30,-1.437,-0.346,落後(Lagging)
2330.TW,TSMC 台積電,2026-07-31,2.389,2.843,領先(Leading)
2330.TW,TSMC 台積電,2026-08-31,-2.083,-2.164,落後(Lagging)
2330.TW,TSMC 台積電,2026-09-11,-1.741,-0.525,落後(Lagging)
3711.TW,ASE 日月光,2025-10-31,4.199,3.297,領先(Leading)
3711.TW,ASE 日月光,2025-11-27,1.492,0.727,領先(Leading)
3711.TW,ASE 日月光,2025-12-30,0.979,-0.837,轉弱(Weakening)
3711.TW,ASE 日月光,2026-01-30,0.917,-0.357,轉弱(Weakening)
3711.TW,ASE 日月光,2026-02-26,2.852,0.972,領先(Leading)
3711.TW,ASE 日月光,2026-03-31,1.186,-1.938,轉弱(Weakening)
3711.TW,ASE 日月光,2026-04-30,1.575,0.414,領先(Leading)
3711.TW,ASE 日月光,2026-05-29,1.098,-1.426,轉弱(Weakening)
3711.TW,ASE 日月光,2026-06-30,0.693,-1.153,轉弱(Weakening)
3711.TW,ASE 日月光,2026-07-31,-1.092,-1.033,落後(Lagging)
3711.TW,ASE 日月光,2026-08-31,-1.17,0.322,轉強(Improving)
3711.TW,ASE 日月光,2026-09-11,0.178,-0.113,轉弱(Weakening)
6239.TW,Powertech 力成,2025-10-31,1.564,0.759,領先(Leading)
6239.TW,Powertech 力成,2025-11-27,-0.049,-1.437,落後(Lagging)
6239.TW,Powertech 力成,2025-12-30,-0.25,-0.106,落後(Lagging)
6239.TW,Powertech 力成,2026-01-30,1.71,1.37,領先(Leading)
6239.TW,Powertech 力成,2026-02-26,0.275,-1.476,轉弱(Weakening)
6239.TW,Powertech 力成,2026-03-31,-1.395,-1.0,落後(Lagging)
6239.TW,Powertech 力成,2026-04-30,-1.225,-0.226,落後(Lagging)
6239.TW,Powertech 力成,2026-05-29,1.686,2.536,領先(Leading)
